Date,Demand Mid-Peak,Demand Non-Coincident,Demand On-Peak,Energy Use,Forecast - Energy Use,Opt - Energy Use,Forecast - Demand On-Peak,Opt - Demand On-Peak,Forecast - Demand Mid-Peak,Opt - Demand Mid-Peak,Forecast - Demand Non-Coincident,Opt - Demand Non-Coincident
2018-05-01,1.11,1.11,0.131,-27.814,-346.28,12.45,80.52,614.42,189.64,170.79,637.46,574.08
2018-05-07,0.456,0.456,0.111,-19.094,-363.75,19.05,67.95,614.42,77.93,170.79,261.97,574.08
2018-05-15,0.55,1.193,1.193,-15.993,-302.26,18.9,647.84,542.99,93.97,170.75,603.36,505.71
2018-05-22,0.792,1.193,1.193,-10.334,-278.18,26.92,647.84,542.99,127.44,161.0,603.36,505.71
2018-06-01,0.309,0.711,0.379,-7.361,-289.2,39.29,230.97,609.98,49.12,158.87,402.6,566.62
2018-06-07,0.492,1.182,1.182,-40.479,-310.07,7.66,680.53,575.68,88.15,179.27,633.8,536.15
2018-06-15,0.207,0.863,0.863,-40.274,-339.51,8.43,496.57,575.68,37.18,179.27,462.47,536.15
2018-06-22,0.492,1.182,1.182,-21.121,-335.19,15.87,680.53,575.68,88.15,179.27,633.8,536.15
2018-07-01,0.083,0.536,0.536,-19.601,-398.1,20.31,308.68,575.68,14.87,179.27,287.48,536.15
2018-07-07,0.083,0.771,0.486,-12.481,-391.04,31.33,254.95,524.53,14.86,179.87,437.43,567.35
2018-07-15,0.403,1.113,0.883,-11.589,-373.64,32.24,462.99,524.53,72.5,179.87,631.19,567.35
2018-07-22,0.332,1.018,0.714,-13.75,-380.88,27.7,298.04,417.17,56.55,170.11,577.56,567.35
2018-08-01,0.166,0.735,0.523,-12.868,-388.35,30.18,289.98,554.2,28.28,170.11,395.06,537.28
2018-08-07,0.499,1.089,0.892,-13.995,-338.95,24.22,494.13,554.2,84.85,170.11,585.19,537.28
2018-08-15,0.218,0.613,0.443,-7.339,-358.94,48.91,255.0,576.27,37.18,170.19,337.48,550.52
2018-08-22,0.275,1.177,0.682,-7.195,-361.14,50.19,400.7,587.8,47.81,173.78,648.17,550.52
2018-09-01,0.275,1.177,0.682,-6.884,-339.81,49.36,400.7,587.8,47.81,173.78,648.17,550.52
2018-09-07,0.161,0.522,0.138,-8.345,-340.65,40.82,80.52,582.78,25.84,160.29,299.98,574.85
2018-09-15,0.039,0.247,0.247,-9.609,-351.4,36.57,133.91,542.52,5.6,143.22,124.71,505.26
2018-09-22,0.097,0.742,0.742,-7.536,-341.62,45.33,402.62,542.52,14.87,154.09,374.98,505.26
2018-10-01,0.054,0.428,0.383,-9.77,-362.07,37.06,191.73,500.22,8.14,149.36,193.27,451.34
2018-10-07,0.626,1.124,1.115,-15.798,-329.24,20.84,450.32,403.93,75.89,121.19,500.58,445.23
2018-10-15,0.484,1.017,1.115,-22.664,-328.86,14.51,306.22,274.67,32.51,67.18,444.41,437.01
2018-10-22,0.385,0.732,1.03,-17.755,-326.33,18.38,166.45,161.57,15.7,40.74,314.61,429.82
Average,0.354,0.873,0.671,-12.232,-344.81,28.19,351.24,523.43,55.62,157.22,459.96,526.99
