Date,Demand Mid-Peak,Demand Non-Coincident,Demand On-Peak,Energy Use,Forecast - Energy Use,Perfect - Energy Use,Forecast - Demand On-Peak,Perfect - Demand On-Peak,Forecast - Demand Mid-Peak,Perfect - Demand Mid-Peak,Forecast - Demand Non-Coincident,Perfect - Demand Non-Coincident
2018-05-01,0.949,0.949,0.686,1.172,-346.28,-295.54,80.52,117.33,189.64,199.84,637.46,671.73
2018-05-07,0.39,0.39,0.579,1.051,-363.75,-346.2,67.95,117.33,77.93,199.84,261.97,671.73
2018-05-15,1.0,1.0,1.0,1.082,-302.26,-279.24,647.84,647.84,93.97,93.97,603.36,603.36
2018-05-22,1.0,1.0,1.0,0.998,-278.18,-278.62,647.84,647.84,127.44,127.44,603.36,603.36
2018-06-01,0.341,0.606,0.402,1.193,-289.2,-242.5,230.97,574.15,49.12,144.2,402.6,664.27
2018-06-07,1.0,1.0,1.0,1.232,-310.07,-251.78,680.53,680.53,88.15,88.15,633.8,633.8
2018-06-15,0.422,0.73,0.73,1.176,-339.51,-288.74,496.57,680.53,37.18,88.15,462.47,633.8
2018-06-22,1.0,1.0,1.0,1.011,-335.19,-331.42,680.53,680.53,88.15,88.15,633.8,633.8
2018-07-01,0.169,0.454,0.454,1.03,-398.1,-386.58,308.68,680.53,14.87,88.15,287.48,633.8
2018-07-07,0.181,0.66,0.513,1.07,-391.04,-365.3,254.95,496.84,14.86,81.88,437.43,662.71
2018-07-15,0.878,0.949,0.927,1.146,-373.64,-326.08,462.99,499.3,72.5,82.56,631.19,665.0
2018-07-22,1.17,1.05,1.11,0.984,-380.88,-387.0,298.04,268.42,56.55,48.34,577.56,549.96
2018-08-01,0.585,0.854,0.8,1.041,-388.35,-373.08,289.98,362.36,28.28,48.34,395.06,462.47
2018-08-07,1.426,1.17,1.227,0.911,-338.95,-372.06,494.13,402.62,84.85,59.49,585.19,499.97
2018-08-15,4.736,0.69,0.611,1.03,-358.94,-348.5,255.0,417.53,37.18,7.85,337.48,488.86
2018-08-22,1.0,1.0,1.0,1.059,-361.14,-341.14,400.7,400.7,47.81,47.81,648.17,648.17
2018-09-01,1.0,1.0,1.0,1.016,-339.81,-334.5,400.7,400.7,47.81,47.81,648.17,648.17
2018-09-07,0.5,0.667,1.0,0.985,-340.65,-345.73,80.52,80.52,25.84,51.67,299.98,449.97
2018-09-15,0.053,0.207,0.207,1.136,-351.4,-309.41,133.91,647.37,5.6,104.99,124.71,602.91
2018-09-22,0.667,0.938,0.937,1.001,-341.62,-341.18,402.62,429.47,14.87,22.31,374.98,399.97
2018-10-01,0.087,0.362,0.343,1.088,-362.07,-332.84,191.73,559.12,8.14,93.68,193.27,534.01
2018-10-07,1.0,1.0,1.0,1.059,-329.24,-310.78,450.32,450.32,75.89,75.89,500.58,500.58
2018-10-15,1.0,1.0,1.0,1.081,-328.86,-304.09,306.22,306.22,32.51,32.51,444.41,444.41
2018-10-22,0.787,0.796,0.924,1.016,-326.33,-321.29,166.45,180.13,15.7,19.94,314.61,395.26
Average,0.687,0.806,0.786,1.059,-344.81,-325.57,351.24,447.01,55.62,80.96,459.96,570.92
